№;Зона;Категорія;Тест-кейс;Тестові дані;Кроки;Очікуваний результат;Пріоритет;Статус
83;Edge Case;Довга назва;60+ символів не ламають верстку;Назва: Довгий кредит на купівлю квартири у банку ПриватБанк 2024 рік;1. Додати. 2. Картка і деталі.;Ellipsis. Без overflow;🟡;[ ]
84;Edge Case;1 кредит без стратегії;Банер при 1 кредиті відсутній;1 кредит / Без стратегії;1. Головна з 1 кредитом.;Банер відсутній;🟠;[ ]
85;Edge Case;Бюджет = обовязковим;Рядок Рекомендовані прихований;Авто (3923) + Телефон (1000) / Бюджет: 4923 ₴;1. Лавина + бюджет = 4923 ₴. 2. Головна.;Рядок Рекомендовані відсутній;🟠;[ ]
86;Edge Case;Платіж > балансу;Обмежується балансом;Малий борг залишок 1500 ₴ / Ввести 5000 ₴;1. Дострокове → 5000 ₴.;Збережено 1500 ₴. Баланс = 0;🔴;[ ]
87;Edge Case;Видалення єдиного платежу;Баланс повертається;Авто / 1 платіж;1. Внести. 2. Скасувати.;Баланс = 100 000 ₴. Прогрес = 0%;🔴;[ ]
88;Edge Case;Архів і загальний борг;Архівований не рахується;Авто (100000) активний + Телефон (24000) архівований;1. Перевірити загальний борг.;Тільки Авто;🟠;[ ]
89;Регресія;Повний цикл;Від додавання до архіву;Малий борг (5000 / 6 / 12%);1. Додати. 2. Внести 862 ₴ × 6. 3. Архівувати.;Баланс і % коректні кожен крок. Фінально 100%;🔴;[ ]
90;Регресія;Новий користувач;Повний сценарій;Чистий застосунок;1. Онбординг → Кредит → Платіж → Перевірити.;Без крашів. Все коректно;🔴;[ ]
91;Регресія;5 кредитів;Загальна сума;Авто + Телефон + Ноутбук + Вже плачу + Малий борг;1. Додати всі 5. 2. Загальний борг.;= σ майбутніх платежів усіх;🔴;[ ]
92;Регресія;Редагування + оплачені;Оплачені не скидаються;Авто / 3 платежі;1. 3 платежі. 2. Редагувати ставку. 3. Графік.;3 Оплачено. Решта перерахована;🔴;[ ]
93;Регресія;Стратегія після погашення;Перебудова плану;Авто + Малий / Лавина / Бюджет: 6000;1. Погасити Малий. 2. План.;Малий борг зник. Весь бюджет → Авто;🔴;[ ]
94;Додавання кредиту;Перемикач режиму;Поля змінюються в обидва боки;—;1. Новий. 2. Я знаю суму. 3. Назад на ставку.;Поля коректно перемикаються;🟠;[ ]
95;Додавання кредиту;Розрахунок ставки;Ненульова ставка при відомому платежі;Назва: Тест / Сума: 50000 / Платежів: 24 / Платіж: 2500 ₴;1. Я знаю суму. 2. Заповнити. 3. Зберегти.;Ставка ≈ 20–22%. Не 0%;🟠;[ ]
96;Додавання кредиту;Розстрочка — точне визначення;1000×12=12000 → 0%;Назва: Розстрочка / Сума: 12000 / Платежів: 12 / Платіж: 1000 ₴;1. Я знаю суму. 2. 1000×12=12000. 3. Зберегти.;Ставка = 0%. Тег розстрочка;🟠;[ ]
97;Додавання кредиту;Перемикач сценарію;Підписи при Новий ↔ Вже плачу;—;1. Вже плачу. 2. Назад.;Вже плачу: Залишок / Платежів залишилось / Наступний. Новий: Сума / Платежів / Перший;🟡;[ ]
98;Головний екран;Лічильник M;M зменшується після дострокового;Авто (100000 / 36 / 24%) / Дострокове 20000 ₴;1. Запамятати M. 2. Дострокове 20000 ₴. 3. Головна.;M < 36;🟠;[ ]
99;Головний екран;Лічильник N;N збільшується після платежу;Авто (100000 / 36 / 24%) / 0 платежів;1. Внести плановий. 2. Головна.;0 з 36 → 1 з 36;🟠;[ ]
100;Головний екран;Часткові на картці;X / Y при позаплановому;Телефон (платіж 1000 / 10-те) / Позаплановий 400 ₴ 1-го;1. Позаплановий 400 ₴. 2. Головна → Телефон.;400 ₴ / 1 000 ₴ · 10 [місяць];🔴;[ ]
101;Головний екран;Часткові приховані;X / Y немає при >= мінімуму;Телефон (1000 ₴) / Позаплановий 1200 ₴;1. Позаплановий 1200 ₴. 2. Головна.;Тільки 1 000 ₴ · дата;🟠;[ ]
102;Головний екран;Рекомендовані — видно;Рядок при стратегії + бюджет > обовязкових;Авто (3923) + Телефон (1000) / Лавина / Бюджет: 7000 ₴;1. Лавина + 7000 ₴. 2. Головна.;Рядок Рекомендовані: 7 000 ₴;🟠;[ ]
103;Головний екран;Рекомендовані — без стратегії;Рядок прихований без стратегії;Авто + Телефон / Без стратегії;1. Без стратегії. 2. Головна.;Тільки Мінімальні;🟠;[ ]
104;Головний екран;Рекомендовані — рівно;Рядок при бюджет = обовязкові;Авто (3923) + Телефон (1000) / Бюджет: 4923;1. Бюджет = 4923. 2. Головна.;Рядок Рекомендовані відсутній;🟠;[ ]
105;Деталі кредиту;Дата після оплати;Дата зсувається на місяць вперед;Авто (день: 15-те);1. Внести платіж. 2. Деталі.;Дата → 15-те наступного місяця;🔴;[ ]
106;Деталі кредиту;Після всіх платежів;Наступний платіж порожній;Малий борг (5000 / 6 / 12%) — всі 6 внесені;1. Всі 6. 2. Деталі.;Блок відсутній або —. Виплачено 100%;🟠;[ ]
107;Деталі кредиту;Статус Оплачено;Зелена галочка;Авто / 2 платежі;1. Деталі → розгорнути.;Перші 2 — зелена галочка;🟠;[ ]
108;Деталі кредиту;Статус Прострочено;Червоний !;Авто / Дата вчора / Не оплачений;1. Кредит із датою вчора. 2. Деталі.;Перший рядок — червоний !;🟠;[ ]
109;Деталі кредиту;Тіло — principalPart;Тіло зменшується на principalPart;Авто (100000 / 36 / 24%) / Платіж 3923 ₴;1. Запамятати 100000. 2. Внести 3923 ₴. 3. Деталі.;Тіло зменшилось на ≈1923 ₴ — не на 3923 ₴;🔴;[ ]
110;Деталі кредиту;Тег розстрочка;Тег для 0%;Телефон (24000 / 24 / 0%);1. Деталі Телефон.;Тег розстрочка зеленим;🟡;[ ]
111;Внесення платежу;Задизаблена для архіву;Внести недоступна для архівованого;Авто — архівований;1. Архів → деталі.;Кнопка Внести — задизаблена;🟠;[ ]
112;Внесення платежу;Форма при порожньому графіку;Позаплановий при пустому графіку;Малий борг — достроково погашений;1. Деталі → Внести платіж.;Форма позапланового;🟡;[ ]
113;Внесення платежу;Скасування форми;Скасування не зберігає;Авто;1. Внести → 3923 ₴ → Скасувати.;Платіж НЕ збережено;🔴;[ ]
114;Внесення платежу;Формат крапка;Крапка як роздільник копійок;Будь-який / Ввести: 1234.56;1. Ввести 1234.56.;Конвертується у 1 234,56 ₴;🟡;[ ]
115;Внесення платежу;Формат кома;Кома як роздільник;Будь-який / Ввести: 1234,56;1. Ввести 1234,56.;Приймає 1 234,56 ₴;🟡;[ ]
116;Позаплановий;В історії;Відображається як позаплановий;Авто / Позаплановий 5000 ₴;1. Додатково → 5000 ₴. 2. Графік.;Позначено як позаплановий;🟠;[ ]
117;Позаплановий;Малий — не скорочує;Малий не скорочує кількість;Авто (100000 / 36 / 24%) / Позаплановий 100 ₴;1. Додатково → 100 ₴. 2. Деталі.;Кількість платежів та сама. Останній трохи менший;🟠;[ ]
118;Позаплановий;Великий — скорочує;Великий скорочує кількість;Авто (100000 / 36 / 24%) / Позаплановий 30000 ₴;1. Додатково → 30000 ₴. 2. Деталі.;Кількість платежів зменшилась. Баланс ≈70000 ₴;🔴;[ ]
119;Архів;Виплачена сума;Загальна виплачена сума і дата;Малий борг (5000 / 6 / 12%) — погашений;1. Погасити і архівувати. 2. Архів.;Загальна сума і дата;🟡;[ ]
120;Архів;Деталі архівованого;Повна історія;Авто — 3 платежі / архівований;1. Архів → тап.;3 платежі видно. Дії задизаблені;🟠;[ ]
121;Стратегія;Повторний вхід;Одразу Стан 4;Лавина вже обрана;1. Вкладка План.;Одразу результат;🔴;[ ]
122;Стратегія;Змінити бюджет;Повернення до форми;—;1. Стан 4 → Змінити бюджет.;Стан 2. Попередній бюджет підставлено;🟠;[ ]
123;Стратегія;Перемикання стратегій;Перерахунок при перемиканні;Поточна: Лавина;1. Стан 4 → Сніжний ком.;Рекомендації змінились. Без переходу до бюджету;🟠;[ ]
124;Стратегія;Рекомендація у платежі;Рекомендована сума для пріоритетного;Авто (3923) + Малий (862) / Лавина / Бюджет: 6000;1. Деталі Авто → Внести.;Підставлено рекомендована. Дві кнопки;🟠;[ ]
125;Стратегія;Мінімальний для непріоритетного;Мінімальний для непріоритетного;Малий — непріоритетний при Лавині;1. Деталі Малий → Внести.;862 ₴. Одна кнопка;🟠;[ ]
126;Стратегія;Без бюджету;Тільки порядок без рекомендацій;Авто + Телефон + Ноутбук / Лавина / Без бюджету;1. Лавина без бюджету. 2. План.;Тільки обовязкові. Без додаткових;🟠;[ ]
127;Нотифікації;Перепланування після платежу;Нотифікація зсувається;Авто / Платіж 15-го;1. Внести платіж.;Нотифікація → 15-те наступного місяця;🟠;[ ]
128;Нотифікації;Перепланування після редагування;Нотифікація після зміни дати;Авто / Змінити 15 → 20;1. Редагувати дату. 2. Зберегти.;Нотифікація → 20-те;🟠;[ ]
129;Нотифікації;Видалення з кредитом;Нотифікація видаляється з кредитом;Авто;1. Видалити кредит.;Нотифікацій для кредиту немає;🟠;[ ]
130;Форматування;Суми;Суми з пробілом і комою;Кредит > 1000 ₴;1. Перевірити всі суми.;1 234,56 ₴;🟠;[ ]
131;Форматування;Ставка;Ставка без групування;Кредит з ненульовою ставкою;1. Деталі — ставка.;24% — без пробілів;🟡;[ ]
132;Форматування;Дата;Дата у форматі d MMM;Авто / Наступний платіж 15 жовтня;1. Картка.;15 жовт;🟡;[ ]
133;Edge Case;1 платіж;Кредит з 1 платежем;Назва: Один / Сума: 5000 / Платежів: 1 / Ставка: 0% / Платіж: 5000 ₴;1. Додати. 2. Деталі.;1 рядок. Без Показати всі;🟡;[ ]
134;Edge Case;360 платежів — швидкість;< 1 сек відкриття;Назва: Іпотека / Сума: 3000000 / Платежів: 360 / Ставка: 12%;1. Додати. 2. Деталі — виміряти час.;Без затримки;🟠;[ ]
135;Edge Case;360 — розгортання;360 рядків без зависання;Іпотека (3000000 / 360 / 12%);1. Показати всі 360.;Всі відображені;🟡;[ ]
136;Edge Case;Баланс 0 без архіву;Залишається активним при Залишити;Малий борг — погашений / Залишити активним;1. Погасити. 2. Залишити активним.;Баланс 0. Виплачено 100%;🟠;[ ]
137;Edge Case;Копійки;Останній платіж коригується до 0,00 ₴;Назва: Копійки / Сума: 10001 / Платежів: 3 / Ставка: 0% / Платіж: 3333,67 ₴;1. Додати. 2. Графік.;Залишок після останнього = 0,00 ₴;🔴;[ ]
138;Edge Case;Перезапуск;Дані зберігаються після закриття;5 кредитів / 3 платежі / Лавина;1. Закрити. 2. Відкрити.;Все збережено;🔴;[ ]
139;Регресія;Вкладки;Навігація між вкладками;—;1. Перемикатись Головна / План / Ще кілька разів.;Без крашів. Стан зберігається;🟠;[ ]
140;Регресія;Орієнтація;Тільки портретна;—;1. Повернути горизонтально.;Залишається портретним;🟡;[ ]
141;Загальний борг;Навігація;Тап на плашку відкриває екран;Авто (100000/36/24%) + Телефон (24000/24/0%);1. Головна. 2. Тапнути кораловий блок «Загальний борг».;Відкривається екран «Загальний борг» з кнопкою ←;🔴;[ ]
142;Загальний борг;Тіло боргу;Тіло боргу = σ currentBalance() всіх активних;Авто залишок 97744 ₴ + Телефон залишок 23000 ₴;1. Відкрити екран.;Тіло боргу = 120 744 ₴ (без відсотків);🔴;[ ]
143;Загальний борг;Тіло боргу;Тіло ≠ «Загальний борг» з HomeView (HomeView = з відсотками);Авто (100000/36/24%) без платежів;1. Порівняти суму на HomeView і на екрані Загальний борг.;HomeView ≈ 141 228 ₴ (платіж × місяці). Загальний борг = 100 000 ₴ (тіло);🔴;[ ]
144;Загальний борг;Усього внесено;Усього внесено = σ actualAmount усіх платежів;Авто / 2 платежі по 3 923 ₴ + 1 позаплановий 5 000 ₴;1. Внести 2 планові і 1 позаплановий. 2. Відкрити екран.;Усього внесено = 3 923 + 3 923 + 5 000 = 12 846 ₴;🔴;[ ]
145;Загальний борг;Усього внесено;Включає позапланові платежі;Авто / Позаплановий 10 000 ₴;1. Внести тільки позаплановий. 2. Відкрити екран.;Усього внесено = 10 000 ₴ (позапланові теж враховані);🟠;[ ]
